Bairro,Latitude,Longitude
"Grajaú, São Paulo, SP, Brasil",-23.7799713,-46.6737655
"Jardim Ângela, São Paulo, SP, Brasil",-23.7125278,-46.7687195
"Capão Redondo, São Paulo, SP, Brasil",-23.6719026,-46.779435420915036
"Sapopemba, São Paulo, SP, Brasil",-23.6043265,-46.5098851
"Sacomã, São Paulo, SP, Brasil",-23.6012824,-46.6025552
"Jardim São Luís, São Paulo, SP, Brasil",-23.6739274,-46.7407377
"Cidade Ademar, São Paulo, SP, Brasil",-23.6730116,-46.6552806
"Brasilândia, São Paulo, SP, Brasil",-23.4649661,-46.6913891
"Campo Limpo, São Paulo, SP, Brasil",-23.6361999,-46.7627968
"Jabaquara, São Paulo, SP, Brasil",-23.6487101,-46.645451
"Jaraguá, São Paulo, SP, Brasil",-23.446592000000003,-46.73617751601424
"Itaquera, São Paulo, SP, Brasil",-23.5360799,-46.4555099
"Itaim Paulista, São Paulo, SP, Brasil",-23.5017648,-46.3996091
"Tremembé, São Paulo, SP, Brasil",-23.4664699,-46.6337817
"Cidade Tiradentes, São Paulo, SP, Brasil",-23.5824973,-46.4092065
"Cidade Dutra, São Paulo, SP, Brasil",-23.7139643,-46.6990882
"Pirituba, São Paulo, SP, Brasil",-23.485533,-46.7219385
"Vila Andrade, São Paulo, SP, Brasil",-23.625687,-46.7269894
"Lajeado, São Paulo, SP, Brasil",-23.53624775,-46.41002184740884
"Pedreira, São Paulo, SP, Brasil",-23.6959329,-46.6432392
"São Mateus, São Paulo, SP, Brasil",-23.5982995,-46.4817046
"Parelheiros, São Paulo, SP, Brasil",-23.827312,-46.7277941
"Iguatemi, São Paulo, SP, Brasil",-23.6182115,-46.418977389793156
"São Rafael, São Paulo, SP, Brasil",-23.627159,-46.45324064213981
"Cachoeirinha, São Paulo, SP, Brasil",-23.4630177,-46.6610721
"Cangaíba, São Paulo, SP, Brasil",-23.5058996,-46.5314253
"Vila Curuçá, São Paulo, SP, Brasil",-23.510151,-46.41789278409091
"São Lucas, São Paulo, SP, Brasil",-23.594946,-46.545899798292474
"Freguesia do Ó, São Paulo, SP, Brasil",-23.4874636,-46.6951317
"Cidade Líder, São Paulo, SP, Brasil",-23.5627696,-46.4943334
"Vila Jacuí, São Paulo, SP, Brasil",-23.500294,-46.458717352058315
"Penha, São Paulo, SP, Brasil",-23.523683,-46.5437815
"Rio Pequeno, São Paulo, SP, Brasil",-23.5685049,-46.75685697298139
"Jardim Helena, São Paulo, SP, Brasil",-23.479635,-46.4196826
"Saúde, São Paulo, SP, Brasil",-23.615177950000003,-46.643393343146286
"José Bonifácio, São Paulo, SP, Brasil",-23.564114500000002,-46.43473669552859
"Vila Mariana, São Paulo, SP, Brasil",-23.5837,-46.632740824206934
"Vila Sônia, São Paulo, SP, Brasil",-23.5986562,-46.7392935
"Raposo Tavares, São Paulo, SP, Brasil",-23.591709299999998,-46.780512317773784
"Ipiranga, São Paulo, SP, Brasil",-23.58927255,-46.60616206667652
"Campo Grande, São Paulo, SP, Brasil",-23.6722214,-46.684628
"Santana, São Paulo, SP, Brasil",-23.499321000000002,-46.6289326497014
"Vila Medeiros, São Paulo, SP, Brasil",-23.487707,-46.5844955
"Ermelino Matarazzo, São Paulo, SP, Brasil",-23.4902552,-46.4824048
"Guaianases, São Paulo, SP, Brasil",-23.5440052,-46.4115152
"Vila Maria, São Paulo, SP, Brasil",-23.5131836,-46.5891557
"Vila Prudente, São Paulo, SP, Brasil",-23.592335,-46.57496141835203
"Mandaqui, São Paulo, SP, Brasil",-23.4636929,-46.6416113
"Vila Matilde, São Paulo, SP, Brasil",-23.536179,-46.524605
"Cursino, São Paulo, SP, Brasil",-23.6323011,-46.61956290654779
"Perdizes, São Paulo, SP, Brasil",-23.537929499999997,-46.68067051085396
"Itaim Bibi, São Paulo, SP, Brasil",-23.5843807,-46.6784441
"Tucuruvi, São Paulo, SP, Brasil",-23.47968135,-46.60290755010229
"Tatuapé, São Paulo, SP, Brasil",-23.5402524,-46.5766424
"Artur Alvim, São Paulo, SP, Brasil",-23.5404687,-46.4897914
"Vila Formosa, São Paulo, SP, Brasil",-23.5668764,-46.5463233
"Ponte Rasa, São Paulo, SP, Brasil",-23.5110455,-46.4870517
"Aricanduva, São Paulo, SP, Brasil",-23.5780239,-46.511454
"São Domingos, São Paulo, SP, Brasil",-23.4938759,-46.7421942
"Perus, São Paulo, SP, Brasil",-23.4084915,-46.743643244261776
"Jaçanã, São Paulo, SP, Brasil",-23.4639591,-46.5824232
"Água Rasa, São Paulo, SP, Brasil",-23.5653715,-46.57369718912304
"Santo Amaro, São Paulo, SP, Brasil",-23.6562303,-46.7191156
"Carrão, São Paulo, SP, Brasil",-23.5515305,-46.537790768940425
"Limão, São Paulo, SP, Brasil",-23.5033149,-46.6752722
"Moema, São Paulo, SP, Brasil",-23.597085,-46.6628884
"Jardim Paulista, São Paulo, SP, Brasil",-23.5652185,-46.6601846
"São Miguel, São Paulo, SP, Brasil",-23.5026845,-46.43832867511995
"Santa Cecília, São Paulo, SP, Brasil",-23.5296595,-46.65189388826502
"Mooca, São Paulo, SP, Brasil",-23.5606808,-46.5971924
"Casa Verde, São Paulo, SP, Brasil",-23.5059269,-46.6561379
"Lapa, São Paulo, SP, Brasil",-23.5215756,-46.7043491
"Anhanguera, São Paulo, SP, Brasil",-23.4329085,-46.788533962659386
"Parque do Carmo, São Paulo, SP, Brasil",-23.5787082,-46.458056
"Campo Belo, São Paulo, SP, Brasil",-23.6299339,-46.670417
"Liberdade, São Paulo, SP, Brasil",-23.5666009,-46.63180336484415
"Pinheiros, São Paulo, SP, Brasil",-23.567249,-46.7019515
"República, São Paulo, SP, Brasil",-23.545334500000003,-46.64225711835967
"Bela Vista, São Paulo, SP, Brasil",-23.5601219,-46.6500338
"Belém, São Paulo, SP, Brasil",-23.5348833,-46.5949387
"Jaguaré, São Paulo, SP, Brasil",-23.5420355,-46.74949925025804
"Consolação, São Paulo, SP, Brasil",-23.557818,-46.6605373
"Vila Guilherme, São Paulo, SP, Brasil",-23.5170972,-46.6079618
"Butantã, São Paulo, SP, Brasil",-23.5690555,-46.7218833626702
"Vila Leopoldina, São Paulo, SP, Brasil",-23.530072,-46.73431933313398
"Cambuci, São Paulo, SP, Brasil",-23.5659114,-46.61367950054397
"Morumbi, São Paulo, SP, Brasil",-23.5964988,-46.7178446
"Brás, São Paulo, SP, Brasil",-23.545113649999998,-46.61633553067246
"Socorro, São Paulo, SP, Brasil",-23.6732831,-46.7288271
"Alto de Pinheiros, São Paulo, SP, Brasil",-23.5499064,-46.7076422
"Bom Retiro, São Paulo, SP, Brasil",-23.5251634,-46.6381644
"Barra Funda, São Paulo, SP, Brasil",-23.5254616,-46.6675134
"Jaguara, São Paulo, SP, Brasil",-23.507446,-46.7553150946776
"Sé, São Paulo, SP, Brasil",-23.5504428,-46.6334463
"Pari, São Paulo, SP, Brasil",-23.532976,-46.6158488
"Marsilac, São Paulo, SP, Brasil",-23.9083907,-46.7061053
